Total_Sink_Rate	Cumu_Weighted_Precip
0.500	25.958
0.510	25.958
0.520	25.958
0.530	25.958
0.540	25.958
0.550	25.958
0.560	25.958
0.570	25.958
0.580	25.958
0.590	25.958
0.600	25.958
0.610	25.958
0.620	25.958
0.630	25.958
0.640	25.958
0.650	25.958
0.660	25.944
0.670	25.923
0.680	25.896
0.690	25.862
0.700	25.824
0.710	25.785
0.720	25.741
0.730	25.696
0.740	25.648
0.750	25.597
0.760	25.544
0.770	25.488
0.780	25.428
0.790	25.365
0.800	25.299
0.810	25.230
0.820	25.157
0.830	25.080
0.840	25.001
0.850	24.916
0.860	24.826
0.870	24.733
0.880	24.636
0.890	24.538
0.900	24.437
0.910	24.331
0.920	24.223
0.930	24.112
0.940	23.999
0.950	23.886
0.960	23.767
0.970	23.646
0.980	23.525
0.990	23.400
1.000	23.274
1.010	23.145
1.020	23.015
1.030	22.882
1.040	22.749
1.050	22.613
1.060	22.476
1.070	22.337
1.080	22.197
1.090	22.056
1.100	21.914
1.110	21.769
1.120	21.624
1.130	21.478
1.140	21.330
1.150	21.179
1.160	21.028
1.170	20.875
1.180	20.721
1.190	20.567
1.200	20.410
1.210	20.252
1.220	20.095
1.230	19.935
1.240	19.776
1.250	19.615
1.260	19.454
1.270	19.293
1.280	19.132
1.290	18.970
1.300	18.807
1.310	18.645
1.320	18.483
1.330	18.320
1.340	18.159
1.350	17.998
1.360	17.837
1.370	17.677
1.380	17.517
1.390	17.358
1.400	17.199
1.410	17.042
1.420	16.885
1.430	16.732
1.440	16.579
1.450	16.434
1.460	16.288
1.470	16.143
1.480	16.004
1.490	15.865
1.500	15.727
1.510	15.596
1.520	15.466
1.530	15.325
1.540	15.184
1.550	15.035
1.560	14.887
1.570	14.740
1.580	14.592
1.590	14.444
1.600	14.297
1.610	14.151
1.620	14.005
1.630	13.852
1.640	13.699
1.650	13.556
1.660	13.412
1.670	13.269
1.680	13.129
1.690	12.989
1.700	12.850
1.710	12.711
1.720	12.573
1.730	12.436
1.740	12.299
1.750	12.164
1.760	12.030
1.770	11.896
1.780	11.763
1.790	11.631
1.800	11.500
1.810	11.371
1.820	11.242
1.830	11.116
1.840	10.990
1.850	10.864
1.860	10.740
1.870	10.616
1.880	10.492
1.890	10.372
1.900	10.252
1.910	10.132
1.920	10.014
1.930	9.897
1.940	9.780
1.950	9.665
1.960	9.551
1.970	9.437
1.980	9.325
1.990	9.214
2.000	9.104
2.010	8.994
2.020	8.886
2.030	8.778
2.040	8.672
2.050	8.567
2.060	8.462
2.070	8.359
2.080	8.257
